datetime,HPI_inf,Fips,HPI_pre
2013-07-01,326.5655284752205,47,322.65897429001006
2013-07-01,268.30216399414996,48,259.30667882070986
2013-07-01,382.96345818700905,49,425.16781818380855
2013-07-01,501.09240106141687,50,530.2418781399026
2013-07-01,456.0816345118096,51,467.08642024825326
2013-07-01,464.92814418453946,53,525.1558018744338
2013-07-01,237.91732158652036,54,231.7865871266642
2013-07-01,333.1231611304264,55,338.75883051536675
2013-07-01,313.20993107796863,56,337.9124925865371
2013-10-01,312.7342552613832,1,299.2142157555672
2013-10-01,341.27805151470034,2,328.10981777830114
2013-10-01,333.70147047232024,4,337.5696166082746
2013-10-01,282.37070615951865,5,252.59499437408164
2013-10-01,530.2347781154483,6,551.5737359305791
2013-10-01,413.885045673098,8,411.18534655553026
2013-10-01,433.3644126430842,9,431.2936389953252
2013-10-01,469.02699048002734,10,484.51507770390106
2013-10-01,749.2345941969329,11,734.7582824946528
2013-10-01,347.2866694108477,12,364.24282576697
2013-10-01,305.26067909722286,13,305.98202338126646
2013-10-01,562.0060605529817,15,568.0632823570655
2013-10-01,323.61843739326156,16,320.86222378367455
2013-10-01,340.70580219125776,17,327.1939314602734
2013-10-01,278.7312004624237,18,265.33814594164414
2013-10-01,289.6382725672397,19,285.11024798845654
2013-10-01,268.5108275457388,20,253.9869011596541
2013-10-01,326.0333295381894,21,309.34933655923385
2013-10-01,281.4665522284794,22,268.377256652322
2013-10-01,506.73822089489494,23,525.4993122767975
2013-10-01,472.1285818130862,24,480.4229706914007
2013-10-01,712.564857550731,25,751.7491249457294
2013-10-01,285.88431700545624,26,283.12150277818444
2013-10-01,357.3582575034375,27,376.5491703660073
2013-10-01,271.05161454182394,28,253.3333515044788
2013-10-01,307.3436666345539,29,311.8719928901671
2013-10-01,421.1983920266944,30,418.4700886178149
2013-10-01,298.2449023918165,31,296.53820451474434
2013-10-01,270.2390205025355,32,298.3473753694316
2013-10-01,434.77214597875303,33,454.27676256142286
2013-10-01,522.1889526278453,34,536.2543436027013
2013-10-01,325.57553007943534,35,323.8522937100171
2013-10-01,642.372755537261,36,656.088309565152
2013-10-01,342.5598899992118,37,340.93048964867427
2013-10-01,362.2338217391685,38,340.65787997261907
2013-10-01,269.6896611520305,39,263.6472894534603
2013-10-01,236.7853250540808,40,223.82274561146613
2013-10-01,433.74209719655636,41,467.2389538193406
2013-10-01,420.534582811501,42,410.401197462567
2013-10-01,500.9012777957804,44,552.1329413487396
2013-10-01,347.7673588425395,45,356.38312022688723
2013-10-01,354.611460750913,46,350.5848385148988
2013-10-01,328.6198964801499,47,308.0915138988361
2013-10-01,271.4178541088272,48,254.63882615374263
2013-10-01,387.96215132114804,49,396.9123485094093
2013-10-01,499.69955421655095,50,510.52765612537047
2013-10-01,456.00259587847364,51,452.7467099309914
2013-10-01,469.4046750334994,53,512.4082618101388
2013-10-01,239.63512668482497,54,247.4075665870721
2013-10-01,331.8473826643662,55,331.4881922508708
2013-10-01,314.2564384617406,56,330.331823225101
2014-01-01,312.4773921200751,1,302.914475861061
2014-01-01,335.39474671669797,2,324.13234655940084
2014-01-01,337.3243902439025,4,334.50098215776086
2014-01-01,281.43283302063793,5,247.45918493942833
2014-01-01,536.8495309568481,6,564.617945347143
2014-01-01,416.3149155722327,8,414.41982920078334
2014-01-01,428.6078799249532,9,415.65103942655355
2014-01-01,463.3301125703565,10,503.0612507466624
2014-01-01,760.2114446529081,11,738.5846200539988
2014-01-01,349.65140712945595,12,372.5799409799644
2014-01-01,307.4489681050657,13,309.60079702862913
2014-01-01,561.9462476547843,15,576.1785023610843
2014-01-01,326.109756097561,16,342.2083403790734
2014-01-01,338.8681050656661,17,332.52335065599743
2014-01-01,276.1319887429644,18,280.7560383728862
2014-01-01,286.9606941838649,19,281.1578328637473
2014-01-01,267.2669793621013,20,261.0070979428066
2014-01-01,323.60121951219514,21,323.12051852855313
2014-01-01,280.21829268292686,22,257.9611493734269
2014-01-01,504.9082551594747,23,531.0910555058935
2014-01-01,469.6638836772983,24,481.1549999710909
2014-01-01,711.3574108818012,25,749.9980290549843
2014-01-01,286.27964352720454,26,288.41133925559615
2014-01-01,356.5186679174484,27,386.2149849906023
