region,sub_region,StateName,Fips,Year,Month,total_number_hpa
West,Mountain,Montana,30,2005,11,376
West,Mountain,Nevada,32,2005,11,3955
West,Mountain,New Mexico,35,2005,11,1183
West,Mountain,Utah,49,2005,11,2312
West,Mountain,Wyoming,56,2005,11,264
West,Pacific,Alaska,2,2005,11,134
West,Pacific,California,6,2005,11,13809
West,Pacific,Hawaii,15,2005,11,556
West,Pacific,Oregon,41,2005,11,2116
West,Pacific,Washington,53,2005,11,4860
North East,New England,Connecticut,9,2005,12,1010
North East,New England,Maine,23,2005,12,509
North East,New England,Massachusetts,25,2005,12,2204
North East,New England,New Hampshire,33,2005,12,462
North East,New England,Rhode Island,44,2005,12,639
North East,New England,Vermont,50,2005,12,147
North East,mid atlantic,New Jersey,34,2005,12,2526
North East,mid atlantic,New York,36,2005,12,4649
North East,mid atlantic,Pennsylvania,42,2005,12,2744
Midwest,East North Central,Illinois,17,2005,12,5041
Midwest,East North Central,Indiana,18,2005,12,2173
Midwest,East North Central,Michigan,26,2005,12,2019
Midwest,East North Central,Ohio,39,2005,12,2961
Midwest,East North Central,Wisconsin,55,2005,12,1843
Midwest,West North Central,Iowa,19,2005,12,608
Midwest,West North Central,Kansas,20,2005,12,1059
Midwest,West North Central,Minnesota,27,2005,12,1935
Midwest,West North Central,Missouri,29,2005,12,2017
Midwest,West North Central,Nebraska,31,2005,12,739
Midwest,West North Central,North Dakota,38,2005,12,293
Midwest,West North Central,South Dakota,46,2005,12,354
South,South Atlantic,Delaware,10,2005,12,578
South,South Atlantic,District of Columbia,11,2005,12,576
South,South Atlantic,Florida,12,2005,12,20176
South,South Atlantic,Georgia,13,2005,12,7344
South,South Atlantic,Maryland,24,2005,12,2167
South,South Atlantic,North Carolina,37,2005,12,7191
South,South Atlantic,South Carolina,45,2005,12,3929
South,South Atlantic,Virginia,51,2005,12,4243
South,South Atlantic,West Virginia,54,2005,12,332
South,East South Central,Alabama,1,2005,12,2051
South,East South Central,Kentucky,21,2005,12,1010
