HPI,Fips,datetime,HPI_inf
225.44,21,2000-10-01,343.16248340128135
229.79,21,2001-01-01,344.96217346352677
231.89,21,2001-04-01,345.53460889395666
233.78,21,2001-07-01,344.03570270270274
235.65,21,2001-10-01,348.55395585738546
237.49,21,2002-01-01,349.495418918919
239.12,21,2002-04-01,348.1693771587744
241.67,21,2002-07-01,348.5809668874172
243.93,21,2002-10-01,351.4528379272327
245.95,21,2003-01-01,352.61377948436643
247.88,21,2003-04-01,351.9061205866377
249.99,21,2003-07-01,351.4652307692308
253.59,21,2003-10-01,356.9105137318256
256.67,21,2004-01-01,360.08197101449275
258.92,21,2004-04-01,359.1896560509554
262.05,21,2004-07-01,358.77102147721325
266.99,21,2004-10-01,365.3429654450262
268.8,21,2005-01-01,366.2855474452555
272.56,21,2005-04-01,366.4417777777778
277.04,21,2005-07-01,368.2969196337742
278.46,21,2005-10-01,366.8261370967742
281.13,21,2006-01-01,367.380684
282.01,21,2006-04-01,365.4245592464056
283.18,21,2006-07-01,361.56289594528585
286.24,21,2006-10-01,366.0062935420744
288.78,21,2007-01-01,366.28476974817653
289.55,21,2007-04-01,362.8868567811606
289.07,21,2007-07-01,357.5785201101824
292.15,21,2007-10-01,362.3918443671364
293.5,21,2008-01-01,361.4196867755979
293.37,21,2008-04-01,356.81131369537906
288.89,21,2008-07-01,343.8108027867583
290.69,21,2008-10-01,349.49714743103186
293.19,21,2009-01-01,353.24226655848946
290.34,21,2009-04-01,349.4895240551569
286.95,21,2009-07-01,343.89000619024694
286.87,21,2009-10-01,346.1319926873858
284.96,21,2010-01-01,344.92136436262587
283.72,21,2010-04-01,343.6225507187277
287.76,21,2010-07-01,346.463697506864
287.36,21,2010-10-01,347.54469967607594
283.22,21,2011-01-01,341.5277324339413
280.43,21,2011-04-01,336.36002037622586
282.7,21,2011-07-01,335.4968532897426
283.72,21,2011-10-01,336.84806439596986
283.46,21,2012-01-01,335.522771676366
282.41,21,2012-04-01,332.95746880666906
284.63,21,2012-07-01,333.1194218058715
285.75,21,2012-10-01,333.84420762780053
285.68,21,2013-01-01,332.1559001734953
286.49,21,2013-04-01,331.33480127087523
285.99,21,2013-07-01,327.29796912082816
284.87,21,2013-10-01,326.0333295381894
285.09,21,2014-01-01,323.60121951219514
289.51,21,2014-04-01,326.58578352878214
290.85,21,2014-07-01,324.1989807015674
293.02,21,2014-10-01,326.67491575454073
295.68,21,2015-01-01,328.1692031339576
299.32,21,2015-04-01,330.3964287071802
301.15,21,2015-07-01,329.207453416149
303.36,21,2015-10-01,331.1939246851438
305.34,21,2016-01-01,331.9288523608292
310.53,21,2016-04-01,335.6636783986104
314.01,21,2016-07-01,335.06570532710583
315.88,21,2016-10-01,335.24346554916673
318.71,21,2017-01-01,335.95778690177536
325.2,21,2017-04-01,340.6392907812788
329.93,21,2017-07-01,342.36115774010403
330.47,21,2017-10-01,341.22129066666673
335.39,21,2018-01-01,343.9479017645189
339.42,21,2018-04-01,345.21989500679075
342.44,21,2018-07-01,345.20310412391814
