Unemployment Rate,total_number_hpa,total_number_hpa_seasonality,Population,Apartment_seasonality,Construction_seasonality,Home_seasonality,Investment_seasonality,Mortgage_seasonality,Realtor_seasonality,Real Estate_seasonality,Real Estate Agent_seasonality,Real Estate Listings_seasonality,Rent_seasonality,zillow_seasonality,Fips,datetime,HPI,HPI_inf,IntRate,CCI
10.9,3662,4019.237351190476,16976088.721311476,225.50739087301588,120.50749007936508,160.47455357142857,102.17127976190476,154.87073412698413,193.85530753968254,129.76924603174604,51.76225198412698,28.417162698412696,149.17276785714284,116.50153769841269,24,2008-04-01,498.4,606.1790869747313,2.25,96.97503
13.7,1976,2513.465773809524,19313483.207650274,160.85228174603174,43.32534722222222,121.19037698412698,86.74345238095238,112.09623015873017,119.41775793650794,127.67986111111111,38.487500000000004,55.421031746031744,129.05064484126984,194.237003968254,25,2008-04-01,658.37,800.7426273907581,2.25,96.97503
21.7,1948,3348.1956845238096,29976505.87978142,169.27534722222222,41.69647817460317,159.44751984126984,39.23184523809524,43.40233134920635,137.11919642857143,112.02554563492063,16.95014880952381,56.76815476190476,161.1613095238095,53.63115079365079,26,2008-04-01,279.9,340.4284238447578,2.25,96.97503
14.2,1640,3136.2090773809523,15641625.284153007,137.84131944444445,65.77078373015873,168.70590277777777,59.084424603174604,143.2203373015873,141.82589285714283,106.49737103174603,99.23015873015873,70.61775793650793,145.2390376984127,118.02678571428571,27,2008-04-01,349.18,424.6902359346643,2.25,96.97503
18.2,3184,3199.13318452381,8794831.158469945,156.55684523809524,23.812251984126984,132.487003968254,134.28159722222222,65.78844246031746,115.09444444444445,94.18720238095239,11.307688492063495,26.70957341269841,185.03025793650795,0.9743055555555564,28,2008-04-01,257.52,313.2087449392713,2.25,96.97503
16.3,2957,3506.451636904762,17681087.19125683,149.7940476190476,49.5609126984127,174.43497023809525,75.66999007936508,106.7062003968254,165.8387896825397,127.94107142857143,42.04895833333333,39.27956349206349,178.49593253968254,90.74042658730158,29,2008-04-01,293.96,357.5289012983387,2.25,96.97503
11.7,588,831.9799107142858,2900004.4918032787,138.38010912698414,125.44126984126984,172.9109623015873,-18.041964285714286,37.52465277777778,204.00322420634922,299.5502976190476,103.2701388888889,-15.835119047619045,118.39826388888889,32.25099206349206,30,2008-04-01,381.04,463.43996649448565,2.25,96.97503
8.8,1303,1777.0907738095239,5356824.349726776,127.49875992063491,36.51374007936508,199.53625992063493,96.32931547619046,68.69464285714285,61.537599206349206,111.69925595238095,33.326438492063495,106.14300595238095,145.95233134920636,54.425496031746036,31,2008-04-01,251.94,306.42206896551727,2.25,96.97503
16.5,2916,3201.209821428571,7829638.6010928955,152.51413690476193,54.758630952380955,180.60188492063492,59.74623015873016,104.34007936507936,185.4921626984127,135.64632936507937,86.1954365079365,60.054365079365084,265.9654265873016,207.72876984126984,32,2008-04-01,330.11,401.4963451067989,2.25,96.97503
10.2,751,952.03125,3939312.1967213117,83.39786706349206,-11.444246031746031,123.53710317460317,22.11636904761905,30.282688492063496,102.34588293650793,101.01339285714286,61.72996031746031,45.78531746031746,112.00416666666666,61.6438492063492,33,2008-04-01,439.76,534.8581767415887,2.25,96.97503
13.899999999999999,4720,5642.511160714285,26050348.224043716,176.11210317460316,53.085367063492065,139.0262896825397,107.72306547619048,108.00555555555556,229.63159722222224,124.94464285714285,41.15064484126984,65.91185515873016,159.856498015873,138.96135912698412,34,2008-04-01,544.94,662.7833700963286,2.25,96.97503
11.399999999999999,1729,1755.7135416666665,5980562.262295082,139.63819444444445,36.157986111111114,239.13665674603175,91.97316468253968,165.6578869047619,184.98809523809524,109.64370039682541,72.23988095238096,76.31453373015873,228.5861111111111,104.56140873015872,35,2008-04-01,327.7,398.56518218623484,2.25,96.97503
14.3,7319,9892.755952380952,57437274.35519126,165.853125,57.78571428571428,107.16964285714286,49.80401785714286,74.37936507936507,106.15724206349206,139.7448908730159,49.42609126984127,62.42371031746032,146.66170634920636,87.25540674603174,36,2008-04-01,624.71,759.8036465168227,2.25,96.97503
15.600000000000001,16119,16500.614583333336,27450339.98360656,152.99667658730158,85.52465277777779,167.49330357142858,83.82375992063493,83.3796626984127,172.71979166666665,130.41666666666666,77.25595238095238,38.888442460317464,197.61284722222223,84.18859126984127,37,2008-04-01,337.62,410.63038391735313,2.25,96.97503
8.5,346,1063.9330357142858,1960852.4699453553,73.3139880952381,0.09087301587301644,129.87956349206348,-9.994345238095239,-2.9466269841269845,169.9998015873016,109.77524801587302,-7.897420634920634,-6.146825396825398,70.55009920634922,-6.958531746031745,38,2008-04-01,247.36,300.8516431662712,2.25,96.97503
16.9,4123,5332.601190476191,34508906.27322404,110.03392857142856,41.32529761904762,147.84702380952382,60.62127976190476,58.09786706349206,145.38189484126985,100.71309523809524,51.963095238095235,60.79077380952381,162.66448412698412,55.46463293650794,39,2008-04-01,259.63,315.77503280748294,2.25,96.97503
9.9,2872,2882.5491071428573,10920455.109289618,161.90044642857143,52.25277777777778,195.73467261904761,27.152281746031747,181.2344742063492,202.0846726190476,101.19553571428571,24.793799603174605,30.156845238095237,186.45352182539682,64.69826388888889,40,2008-04-01,204.63,248.8812732095491,2.25,96.97503
15.299999999999999,3285,3528.9166666666665,11190543.087431693,119.10223214285713,50.34166666666666,168.1106646825397,46.35749007936508,-0.19533730158730098,91.328125,163.73323412698414,23.577331349206347,38.52430555555556,146.18377976190476,228.4640376984127,41,2008-04-01,445.97,542.4110903252828,2.25,96.97503
14.5,5540,6568.924107142857,37716117.09836066,151.93501984126985,54.889980158730154,144.64742063492065,50.980307539682535,58.621924603174605,172.7735615079365,123.74255952380952,8.291468253968254,63.53224206349206,133.0328869047619,94.91304563492062,42,2008-04-01,394.59,479.92015635906745,2.25,96.97503
