geoName,Real Estate,year
South Carolina,29,2006-05-31
South Dakota,24,2006-05-31
Tennessee,40,2006-05-31
Texas,32,2006-05-31
Utah,53,2006-05-31
Vermont,100,2006-05-31
Virginia,36,2006-05-31
Washington,41,2006-05-31
West Virginia,14,2006-05-31
Wisconsin,28,2006-05-31
Wyoming,66,2006-05-31
Alabama,25,2006-06-30
Alaska,33,2006-06-30
Arizona,45,2006-06-30
Arkansas,50,2006-06-30
California,33,2006-06-30
Colorado,37,2006-06-30
Connecticut,44,2006-06-30
Delaware,18,2006-06-30
District of Columbia,35,2006-06-30
Florida,34,2006-06-30
Georgia,36,2006-06-30
Hawaii,50,2006-06-30
Idaho,52,2006-06-30
Illinois,32,2006-06-30
Indiana,18,2006-06-30
Iowa,29,2006-06-30
Kansas,30,2006-06-30
Kentucky,16,2006-06-30
Louisiana,43,2006-06-30
Maine,23,2006-06-30
Maryland,32,2006-06-30
Massachusetts,30,2006-06-30
Michigan,24,2006-06-30
Minnesota,31,2006-06-30
Mississippi,30,2006-06-30
Missouri,31,2006-06-30
Montana,100,2006-06-30
Nebraska,35,2006-06-30
Nevada,27,2006-06-30
New Hampshire,43,2006-06-30
New Jersey,30,2006-06-30
New Mexico,38,2006-06-30
New York,35,2006-06-30
North Carolina,40,2006-06-30
North Dakota,21,2006-06-30
Ohio,23,2006-06-30
Oklahoma,24,2006-06-30
Oregon,45,2006-06-30
Pennsylvania,33,2006-06-30
Rhode Island,45,2006-06-30
South Carolina,47,2006-06-30
South Dakota,23,2006-06-30
Tennessee,33,2006-06-30
Texas,28,2006-06-30
Utah,48,2006-06-30
Vermont,66,2006-06-30
Virginia,36,2006-06-30
Washington,37,2006-06-30
West Virginia,6,2006-06-30
Wisconsin,28,2006-06-30
Wyoming,82,2006-06-30
Alabama,45,2006-07-31
Alaska,44,2006-07-31
Arizona,54,2006-07-31
Arkansas,79,2006-07-31
California,42,2006-07-31
Colorado,55,2006-07-31
Connecticut,68,2006-07-31
Delaware,43,2006-07-31
District of Columbia,49,2006-07-31
Florida,42,2006-07-31
Georgia,43,2006-07-31
Hawaii,68,2006-07-31
Idaho,98,2006-07-31
Illinois,38,2006-07-31
Indiana,23,2006-07-31
Iowa,17,2006-07-31
Kansas,49,2006-07-31
Kentucky,29,2006-07-31
Louisiana,62,2006-07-31
Maine,50,2006-07-31
Maryland,53,2006-07-31
Massachusetts,43,2006-07-31
Michigan,35,2006-07-31
Minnesota,38,2006-07-31
Mississippi,42,2006-07-31
Missouri,38,2006-07-31
Montana,48,2006-07-31
Nebraska,64,2006-07-31
Nevada,51,2006-07-31
New Hampshire,42,2006-07-31
New Jersey,38,2006-07-31
New Mexico,60,2006-07-31
New York,50,2006-07-31
North Carolina,50,2006-07-31
North Dakota,33,2006-07-31
Ohio,35,2006-07-31
Oklahoma,39,2006-07-31
Oregon,64,2006-07-31
Pennsylvania,44,2006-07-31
Rhode Island,35,2006-07-31
South Carolina,42,2006-07-31
South Dakota,30,2006-07-31
Tennessee,43,2006-07-31
Texas,39,2006-07-31
Utah,84,2006-07-31
Vermont,89,2006-07-31
Virginia,49,2006-07-31
Washington,66,2006-07-31
