geoName,Mortgage,year
Virginia,12,2006-06-30
Washington,25,2006-06-30
West Virginia,0,2006-06-30
Wisconsin,10,2006-06-30
Wyoming,0,2006-06-30
Alabama,20,2006-07-31
Alaska,0,2006-07-31
Arizona,32,2006-07-31
Arkansas,0,2006-07-31
California,20,2006-07-31
Colorado,0,2006-07-31
Connecticut,13,2006-07-31
Delaware,0,2006-07-31
District of Columbia,0,2006-07-31
Florida,12,2006-07-31
Georgia,22,2006-07-31
Hawaii,0,2006-07-31
Idaho,48,2006-07-31
Illinois,4,2006-07-31
Indiana,14,2006-07-31
Iowa,100,2006-07-31
Kansas,0,2006-07-31
Kentucky,0,2006-07-31
Louisiana,62,2006-07-31
Maine,0,2006-07-31
Maryland,44,2006-07-31
Massachusetts,10,2006-07-31
Michigan,19,2006-07-31
Minnesota,26,2006-07-31
Mississippi,0,2006-07-31
Missouri,25,2006-07-31
Montana,0,2006-07-31
Nebraska,0,2006-07-31
Nevada,25,2006-07-31
New Hampshire,0,2006-07-31
New Jersey,43,2006-07-31
New Mexico,0,2006-07-31
New York,17,2006-07-31
North Carolina,19,2006-07-31
North Dakota,0,2006-07-31
Ohio,27,2006-07-31
Oklahoma,22,2006-07-31
Oregon,22,2006-07-31
Pennsylvania,26,2006-07-31
Rhode Island,38,2006-07-31
South Carolina,0,2006-07-31
South Dakota,0,2006-07-31
Tennessee,36,2006-07-31
Texas,22,2006-07-31
Utah,21,2006-07-31
Vermont,0,2006-07-31
Virginia,27,2006-07-31
Washington,35,2006-07-31
