Fips,Year,Population,Interest Rate,Month,Unemployment Rate,HPA,HPI
37,2012,9751810.0,0.75,1,8.3,3978,297.61
38,2012,702227.0,0.75,1,8.3,128,270.14
39,2012,11550971.0,0.75,1,8.3,1081,234.44
40,2012,3819320.0,0.75,1,8.3,756,202.02
41,2012,3900102.0,0.75,1,8.3,641,342.08
42,2012,12769123.0,0.75,1,8.3,1394,363.79
44,2012,1054893.0,0.75,1,8.3,49,445.4
45,2012,4719027.0,0.75,1,8.3,1341,302.48
46,2012,833859.0,0.75,1,8.3,140,293.24
47,2012,6455752.0,0.75,1,8.3,1266,279.36
48,2012,26084120.0,0.75,1,8.3,8766,219.64
49,2012,2854146.0,0.75,1,8.3,643,305.14
50,2012,626361.0,0.75,1,8.3,36,438.66
51,2012,8187456.0,0.75,1,8.3,1691,390.37
53,2012,6898599.0,0.75,1,8.3,1138,379.38
54,2012,1857446.0,0.75,1,8.3,74,202.58
55,2012,5720825.0,0.75,1,8.3,358,291.59
56,2012,576656.0,0.75,1,8.3,84,265.1
1,2012,4816632.0,0.75,4,8.2,776,274.81
2,2012,730810.0,0.75,4,8.2,101,284.71
4,2012,6556344.0,0.75,4,8.2,1705,239.75
5,2012,2952876.0,0.75,4,8.2,438,240.33
6,2012,37944551.0,0.75,4,8.2,3314,382.46
8,2012,5193660.0,0.75,4,8.2,1978,330.13
9,2012,3595211.0,0.75,4,8.2,249,383.32
10,2012,915518.0,0.75,4,8.2,352,398.56
11,2012,635737.0,0.75,4,8.2,35,582.06
12,2012,19302016.0,0.75,4,8.2,4544,265.11
13,2012,9903580.0,0.75,4,8.2,2218,247.47
15,2012,1395199.0,0.75,4,8.2,390,445.25
16,2012,1595910.0,0.75,4,8.2,654,258.75
17,2012,12883029.0,0.75,4,8.2,955,292.47
18,2012,6538989.0,0.75,4,8.2,1339,239.3
19,2012,3076844.0,0.75,4,8.2,815,246.76
20,2012,2886024.0,0.75,4,8.2,651,230.65
21,2012,4387865.0,0.75,4,8.2,518,282.41
22,2012,4602067.0,0.75,4,8.2,1084,240.0
23,2012,1328094.0,0.75,4,8.2,250,441.25
24,2012,5888375.0,0.75,4,8.2,925,399.52
25,2012,6664269.0,0.75,4,8.2,1026,598.13
26,2012,9898289.0,0.75,4,8.2,996,226.74
27,2012,5377500.0,0.75,4,8.2,1073,290.7
28,2012,2984599.0,0.75,4,8.2,455,237.22
29,2012,6026027.0,0.75,4,8.2,727,265.56
30,2012,1004168.0,0.75,4,8.2,323,348.6
31,2012,1853691.0,0.75,4,8.2,446,250.73
32,2012,2744670.0,0.75,4,8.2,767,184.29
33,2012,1324677.0,0.75,4,8.2,203,372.16
34,2012,8845671.0,0.75,4,8.2,1544,450.22
35,2012,2087715.0,0.75,4,8.2,353,279.68
36,2012,19574362.0,0.75,4,8.2,2406,553.07
37,2012,9751810.0,0.75,4,8.2,3085,294.06
38,2012,702227.0,0.75,4,8.2,634,277.6
39,2012,11550971.0,0.75,4,8.2,1451,233.28
40,2012,3819320.0,0.75,4,8.2,872,201.78
