,0,year,mo,1
45,Texas,2017,August,15857
48,Arizona,2017,August,3941
49,Colorado,2017,August,4476
50,Idaho,2017,August,1688
51,Montana,2017,August,357
52,Nevada,2017,August,1932
53,New Mexico,2017,August,430
54,Utah,2017,August,2594
55,Wyoming,2017,August,187
57,Alaska,2017,August,171
58,California,2017,August,9654
59,Hawaii,2017,August,265
60,Oregon,2017,August,2692
61,Washington,2017,August,4799
0,Connecticut,2017,September,434
1,Maine,2017,September,417
2,Massachusetts,2017,September,1460
3,New Hampshire,2017,September,376
4,Rhode Island,2017,September,94
5,Vermont,2017,September,292
7,New Jersey,2017,September,2229
8,New York,2017,September,3626
9,Pennsylvania,2017,September,2104
12,Illinois,2017,September,2015
13,Indiana,2017,September,1486
14,Michigan,2017,September,2313
15,Ohio,2017,September,2050
16,Wisconsin,2017,September,1850
18,Iowa,2017,September,1058
19,Kansas,2017,September,994
20,Minnesota,2017,September,2365
21,Missouri,2017,September,1512
22,Nebraska,2017,September,738
23,North Dakota,2017,September,442
24,South Dakota,2017,September,790
27,Delaware,2017,September,479
28,District of Columbia,2017,September,329
29,Florida,2017,September,7966
30,Georgia,2017,September,3826
31,Maryland,2017,September,1819
32,North Carolina,2017,September,5068
33,South Carolina,2017,September,2641
34,Virginia,2017,September,2706
35,West Virginia,2017,September,227
37,Alabama,2017,September,1374
38,Kentucky,2017,September,942
39,Mississippi,2017,September,545
40,Tennessee,2017,September,3423
42,Arkansas,2017,September,1035
43,Louisiana,2017,September,1166
44,Oklahoma,2017,September,777
45,Texas,2017,September,12233
48,Arizona,2017,September,3108
49,Colorado,2017,September,3016
50,Idaho,2017,September,1196
51,Montana,2017,September,369
52,Nevada,2017,September,1043
53,New Mexico,2017,September,357
54,Utah,2017,September,1975
55,Wyoming,2017,September,191
57,Alaska,2017,September,122
58,California,2017,September,8910
59,Hawaii,2017,September,817
60,Oregon,2017,September,1670
61,Washington,2017,September,3425
0,Connecticut,2017,October,561
1,Maine,2017,October,341
2,Massachusetts,2017,October,1568
3,New Hampshire,2017,October,280
4,Rhode Island,2017,October,99
5,Vermont,2017,October,131
7,New Jersey,2017,October,2669
8,New York,2017,October,3116
9,Pennsylvania,2017,October,1726
12,Illinois,2017,October,2085
13,Indiana,2017,October,1635
14,Michigan,2017,October,2972
15,Ohio,2017,October,2093
16,Wisconsin,2017,October,1852
18,Iowa,2017,October,1428
19,Kansas,2017,October,577
20,Minnesota,2017,October,2373
21,Missouri,2017,October,2568
22,Nebraska,2017,October,578
23,North Dakota,2017,October,612
24,South Dakota,2017,October,559
27,Delaware,2017,October,542
28,District of Columbia,2017,October,1395
29,Florida,2017,October,10721
30,Georgia,2017,October,4285
31,Maryland,2017,October,918
32,North Carolina,2017,October,5899
33,South Carolina,2017,October,2867
34,Virginia,2017,October,2950
35,West Virginia,2017,October,246
37,Alabama,2017,October,1126
38,Kentucky,2017,October,848
39,Mississippi,2017,October,651
40,Tennessee,2017,October,3259
42,Arkansas,2017,October,862
43,Louisiana,2017,October,1168
44,Oklahoma,2017,October,1037
45,Texas,2017,October,15098
48,Arizona,2017,October,3706
49,Colorado,2017,October,3173
50,Idaho,2017,October,1434
51,Montana,2017,October,466
52,Nevada,2017,October,1597
53,New Mexico,2017,October,434
54,Utah,2017,October,2446
55,Wyoming,2017,October,146
57,Alaska,2017,October,133
58,California,2017,October,10335
59,Hawaii,2017,October,413
60,Oregon,2017,October,1643
61,Washington,2017,October,4392
0,Connecticut,2017,November,369
1,Maine,2017,November,503
2,Massachusetts,2017,November,1070
3,New Hampshire,2017,November,224
4,Rhode Island,2017,November,82
5,Vermont,2017,November,105
7,New Jersey,2017,November,2651
8,New York,2017,November,2568
9,Pennsylvania,2017,November,1741
12,Illinois,2017,November,1839
13,Indiana,2017,November,1483
14,Michigan,2017,November,1688
15,Ohio,2017,November,1604
16,Wisconsin,2017,November,1190
18,Iowa,2017,November,1245
19,Kansas,2017,November,666
20,Minnesota,2017,November,1865
21,Missouri,2017,November,1287
22,Nebraska,2017,November,799
23,North Dakota,2017,November,171
24,South Dakota,2017,November,418
27,Delaware,2017,November,485
28,District of Columbia,2017,November,860
29,Florida,2017,November,7665
30,Georgia,2017,November,3130
31,Maryland,2017,November,1114
32,North Carolina,2017,November,5774
33,South Carolina,2017,November,2595
34,Virginia,2017,November,2936
35,West Virginia,2017,November,160
37,Alabama,2017,November,1088
38,Kentucky,2017,November,1006
39,Mississippi,2017,November,509
40,Tennessee,2017,November,2321
42,Arkansas,2017,November,771
43,Louisiana,2017,November,2270
44,Oklahoma,2017,November,808
45,Texas,2017,November,13140
48,Arizona,2017,November,2681
49,Colorado,2017,November,3619
50,Idaho,2017,November,1059
51,Montana,2017,November,248
52,Nevada,2017,November,2032
53,New Mexico,2017,November,300
54,Utah,2017,November,2209
55,Wyoming,2017,November,170
57,Alaska,2017,November,114
58,California,2017,November,8272
59,Hawaii,2017,November,223
60,Oregon,2017,November,1701
61,Washington,2017,November,4138
0,Connecticut,2017,December,299
1,Maine,2017,December,283
2,Massachusetts,2017,December,2359
3,New Hampshire,2017,December,150
4,Rhode Island,2017,December,79
5,Vermont,2017,December,50
7,New Jersey,2017,December,2639
8,New York,2017,December,4248
9,Pennsylvania,2017,December,1807
12,Illinois,2017,December,1880
13,Indiana,2017,December,1262
14,Michigan,2017,December,1487
15,Ohio,2017,December,1251
16,Wisconsin,2017,December,1028
18,Iowa,2017,December,1000
19,Kansas,2017,December,799
20,Minnesota,2017,December,1574
21,Missouri,2017,December,1334
22,Nebraska,2017,December,683
23,North Dakota,2017,December,36
24,South Dakota,2017,December,258
27,Delaware,2017,December,604
28,District of Columbia,2017,December,92
29,Florida,2017,December,8748
30,Georgia,2017,December,2895
31,Maryland,2017,December,785
32,North Carolina,2017,December,4694
33,South Carolina,2017,December,2382
34,Virginia,2017,December,1906
35,West Virginia,2017,December,197
37,Alabama,2017,December,1338
38,Kentucky,2017,December,871
39,Mississippi,2017,December,535
40,Tennessee,2017,December,2724
42,Arkansas,2017,December,1074
43,Louisiana,2017,December,873
44,Oklahoma,2017,December,737
45,Texas,2017,December,11348
48,Arizona,2017,December,2806
49,Colorado,2017,December,2639
50,Idaho,2017,December,817
51,Montana,2017,December,164
52,Nevada,2017,December,1457
53,New Mexico,2017,December,387
54,Utah,2017,December,1513
55,Wyoming,2017,December,76
57,Alaska,2017,December,105
58,California,2017,December,11393
59,Hawaii,2017,December,313
60,Oregon,2017,December,1726
61,Washington,2017,December,3349
0,Connecticut,2018,January,342
1,Maine,2018,January,193
2,Massachusetts,2018,January,1369
3,New Hampshire,2018,January,332
4,Rhode Island,2018,January,59
5,Vermont,2018,January,57
7,New Jersey,2018,January,1510
8,New York,2018,January,2382
9,Pennsylvania,2018,January,1256
12,Illinois,2018,January,733
13,Indiana,2018,January,1008
14,Michigan,2018,January,1209
15,Ohio,2018,January,1487
16,Wisconsin,2018,January,766
18,Iowa,2018,January,459
19,Kansas,2018,January,451
20,Minnesota,2018,January,1706
21,Missouri,2018,January,840
22,Nebraska,2018,January,313
23,North Dakota,2018,January,36
24,South Dakota,2018,January,166
27,Delaware,2018,January,501
28,District of Columbia,2018,January,87
29,Florida,2018,January,11346
30,Georgia,2018,January,5010
31,Maryland,2018,January,1360
32,North Carolina,2018,January,6168
33,South Carolina,2018,January,2811
34,Virginia,2018,January,2437
35,West Virginia,2018,January,159
37,Alabama,2018,January,1212
38,Kentucky,2018,January,854
39,Mississippi,2018,January,453
40,Tennessee,2018,January,2760
42,Arkansas,2018,January,1278
43,Louisiana,2018,January,1168
44,Oklahoma,2018,January,905
45,Texas,2018,January,15207
48,Arizona,2018,January,3531
49,Colorado,2018,January,3875
50,Idaho,2018,January,911
51,Montana,2018,January,138
52,Nevada,2018,January,1189
53,New Mexico,2018,January,393
54,Utah,2018,January,2363
55,Wyoming,2018,January,76
57,Alaska,2018,January,111
58,California,2018,January,8730
59,Hawaii,2018,January,224
60,Oregon,2018,January,1905
61,Washington,2018,January,2838
0,Connecticut,2018,February,470
1,Maine,2018,February,291
2,Massachusetts,2018,February,864
3,New Hampshire,2018,February,314
4,Rhode Island,2018,February,89
5,Vermont,2018,February,72
7,New Jersey,2018,February,2235
8,New York,2018,February,2276
